CancerType,IncidenceMortality,year,sex,NumberOfCases,AgeAdjustedRate,IncidenceMortality_Sex
Prostate C61,Mortality,2000,Male,28,39.2,Mortality Male
Prostate C61,Mortality,2008,Male,35,29.9,Mortality Male
"Lung C33, C34",Incidence,2003,Female,30,21.8,Incidence Female
"Lung C33, C34",Mortality,2007,Male,50,37.5,Mortality Male
"Lung C33, C34",Incidence,1985,Person,59,48.7,Incidence Person
Melanoma of skin C43,Incidence,1986,Female,37,35.3,Incidence Female
Bowel C18-C20,Incidence,2007,Female,93,59.3,Incidence Female
All sites C00-C96 excl C44,Incidence,2000,Female,565,408.7,Incidence Female
Bowel C18-C20,Mortality,1993,Female,28,30,Mortality Female
"Lung C33, C34",Mortality,2011,Person,67,20.9,Mortality Person
"Lung C33, C34",Mortality,1985,Female,13,18,Mortality Female
Melanoma of skin C43,Incidence,1994,Female,27,20,Incidence Female
All sites C00-C96 excl C44,Mortality,1999,Person,391,182.1,Mortality Person
Bowel C18-C20,Incidence,2010,Person,193,60,Incidence Person
Bowel C18-C20,Mortality,1988,Female,22,34.3,Mortality Female
Bowel C18-C20,Incidence,2006,Male,99,73.8,Incidence Male
Prostate C61,Incidence,1996,Male,166,183.4,Incidence Male
Bowel C18-C20,Incidence,2005,Person,172,61,Incidence Person
Breast C50,Mortality,1999,Female,28,21.4,Mortality Female
Bowel C18-C20,Mortality,2000,Male,24,24.7,Mortality Male
Bowel C18-C20,Mortality,2010,Person,65,20.9,Mortality Person
Bowel C18-C20,Mortality,1986,Female,22,32.8,Mortality Female
Melanoma of skin C43,Incidence,2000,Person,95,34.2,Incidence Person
Bowel C18-C20,Incidence,2008,Male,106,74.5,Incidence Male
Bowel C18-C20,Incidence,2011,Male,107,71.3,Incidence Male
Bowel C18-C20,Incidence,1996,Person,120,57.8,Incidence Person
Breast C50,Mortality,1998,Female,35,29.5,Mortality Female
All sites C00-C96 excl C44,Mortality,1988,Person,276,208,Mortality Person
Prostate C61,Incidence,2006,Male,212,156,Incidence Male
All sites C00-C96 excl C44,Mortality,2007,Male,279,220.8,Mortality Male
"Lung C33, C34",Incidence,1995,Female,20,19.6,Incidence Female
"Lung C33, C34",Incidence,2000,Female,30,23.3,Incidence Female
All sites C00-C96 excl C44,Mortality,2004,Male,245,218.7,Mortality Male
"Lung C33, C34",Mortality,1988,Female,22,30.1,Mortality Female
All sites C00-C96 excl C44,Incidence,2003,Male,649,537.5,Incidence Male
Prostate C61,Incidence,2001,Male,147,132.1,Incidence Male
All sites C00-C96 excl C44,Incidence,1998,Person,1032,448,Incidence Person
"Lung C33, C34",Incidence,2007,Person,107,37,Incidence Person
Melanoma of skin C43,Incidence,1995,Female,51,41.4,Incidence Female
All sites C00-C96 excl C44,Mortality,2006,Female,202,130,Mortality Female
"Lung C33, C34",Incidence,2013,Male,64,41.1,Incidence Male
Prostate C61,Incidence,1987,Male,18,43.6,Incidence Male
Bowel C18-C20,Incidence,2000,Person,167,72.3,Incidence Person
Bowel C18-C20,Mortality,2011,Female,24,12.6,Mortality Female
Bowel C18-C20,Incidence,1995,Male,62,68.2,Incidence Male
Breast C50,Mortality,2001,Female,34,24.6,Mortality Female
"Lung C33, C34",Incidence,1994,Male,46,59,Incidence Male
Bowel C18-C20,Mortality,2004,Female,22,15.2,Mortality Female
Melanoma of skin C43,Incidence,1999,Person,113,42.4,Incidence Person
Prostate C61,Mortality,2010,Male,22,16.8,Mortality Male
Breast C50,Mortality,1997,Female,39,32.2,Mortality Female
Bowel C18-C20,Mortality,2006,Male,41,30.9,Mortality Male
Prostate C61,Mortality,2012,Male,40,28.3,Mortality Male
Melanoma of skin C43,Incidence,2003,Person,109,37.7,Incidence Person
All sites C00-C96 excl C44,Incidence,2008,Male,808,563,Incidence Male
Bowel C18-C20,Mortality,1987,Person,45,36.2,Mortality Person
All sites C00-C96 excl C44,Mortality,1985,Female,110,156.5,Mortality Female
Bowel C18-C20,Mortality,2009,Female,33,18.8,Mortality Female
"Lung C33, C34",Incidence,2001,Male,43,39.4,Incidence Male
Breast C50,Incidence,2004,Female,209,135,Incidence Female
"Lung C33, C34",Incidence,2006,Male,51,41.1,Incidence Male
"Lung C33, C34",Incidence,1987,Female,22,32,Incidence Female
Bowel C18-C20,Incidence,2008,Female,87,54.2,Incidence Female
"Lung C33, C34",Incidence,1994,Female,25,24.3,Incidence Female
"Lung C33, C34",Mortality,2003,Person,59,23.5,Mortality Person
"Lung C33, C34",Mortality,2014,Person,86,24.3,Mortality Person
All sites C00-C96 excl C44,Incidence,1999,Person,1024,431.4,Incidence Person
Bowel C18-C20,Incidence,2010,Male,93,63.1,Incidence Male
Bowel C18-C20,Mortality,2013,Person,75,21.4,Mortality Person
Melanoma of skin C43,Incidence,2000,Female,40,26.5,Incidence Female
Breast C50,Incidence,2003,Female,199,127.3,Incidence Female
Prostate C61,Incidence,1994,Male,144,196.4,Incidence Male
All sites C00-C96 excl C44,Incidence,1995,Male,512,585.2,Incidence Male
Melanoma of skin C43,Incidence,1985,Person,66,31.7,Incidence Person
"Lung C33, C34",Incidence,1987,Male,41,78.6,Incidence Male
Melanoma of skin C43,Incidence,1996,Male,51,44.3,Incidence Male
"Lung C33, C34",Incidence,1996,Male,44,47.4,Incidence Male
All sites C00-C96 excl C44,Mortality,2014,Person,491,136.4,Mortality Person
"Lung C33, C34",Incidence,2014,Female,51,27,Incidence Female
All sites C00-C96 excl C44,Incidence,2002,Male,596,501.8,Incidence Male
All sites C00-C96 excl C44,Mortality,1990,Male,155,244,Mortality Male
Melanoma of skin C43,Incidence,1995,Male,54,52.8,Incidence Male
Breast C50,Incidence,2009,Female,265,149.3,Incidence Female
Bowel C18-C20,Mortality,1986,Person,38,32,Mortality Person
"Lung C33, C34",Mortality,2005,Male,29,26,Mortality Male
Breast C50,Incidence,2014,Female,248,124.8,Incidence Female
"Lung C33, C34",Incidence,2013,Female,54,28,Incidence Female
Bowel C18-C20,Incidence,2005,Male,93,70.8,Incidence Male
All sites C00-C96 excl C44,Incidence,2001,Male,563,492.6,Incidence Male
All sites C00-C96 excl C44,Mortality,1986,Female,130,184.1,Mortality Female
"Lung C33, C34",Incidence,1988,Female,12,14.8,Incidence Female
Prostate C61,Mortality,1993,Male,21,39,Mortality Male
"Lung C33, C34",Mortality,1998,Person,65,32.2,Mortality Person
Breast C50,Incidence,1998,Female,169,125.7,Incidence Female
Breast C50,Incidence,2001,Female,179,119.4,Incidence Female
Melanoma of skin C43,Incidence,2010,Male,84,54.1,Incidence Male
All sites C00-C96 excl C44,Incidence,1991,Person,723,414.3,Incidence Person
Breast C50,Mortality,2005,Female,41,26.5,Mortality Female
"Lung C33, C34",Mortality,2012,Person,70,21,Mortality Person
Bowel C18-C20,Incidence,1987,Person,96,69.1,Incidence Person
All sites C00-C96 excl C44,Incidence,1996,Female,441,364.7,Incidence Female
Bowel C18-C20,Mortality,2002,Male,29,27,Mortality Male
Prostate C61,Incidence,2007,Male,256,186.2,Incidence Male
"Lung C33, C34",Incidence,1997,Male,35,39.1,Incidence Male
All sites C00-C96 excl C44,Mortality,2003,Person,418,166.4,Mortality Person
All sites C00-C96 excl C44,Incidence,1986,Male,262,409,Incidence Male
Melanoma of skin C43,Incidence,1996,Person,91,36.2,Incidence Person
Prostate C61,Mortality,2005,Male,30,29.8,Mortality Male
Prostate C61,Mortality,1994,Male,19,30.9,Mortality Male
"Lung C33, C34",Mortality,2007,Person,81,27.5,Mortality Person
Bowel C18-C20,Incidence,2012,Male,112,70.4,Incidence Male
Bowel C18-C20,Incidence,2012,Person,230,67.1,Incidence Person
Bowel C18-C20,Mortality,2006,Female,24,15.4,Mortality Female
"Lung C33, C34",Mortality,1986,Male,45,79.8,Mortality Male
Bowel C18-C20,Incidence,2015,Female,83,40.7,Incidence Female
All sites C00-C96 excl C44,Mortality,2004,Female,166,112.5,Mortality Female
All sites C00-C96 excl C44,Incidence,1994,Female,430,388.7,Incidence Female
Bowel C18-C20,Mortality,2012,Female,40,21.3,Mortality Female
"Lung C33, C34",Mortality,2005,Female,26,17.2,Mortality Female
"Lung C33, C34",Incidence,2002,Male,47,44.7,Incidence Male
"Lung C33, C34",Incidence,1993,Person,66,37.3,Incidence Person
Bowel C18-C20,Mortality,1997,Female,25,22.8,Mortality Female
Bowel C18-C20,Mortality,2007,Person,68,24,Mortality Person
All sites C00-C96 excl C44,Incidence,2004,Male,706,560.7,Incidence Male
Bowel C18-C20,Mortality,1989,Male,27,46.6,Mortality Male
All sites C00-C96 excl C44,Mortality,2010,Female,214,124,Mortality Female
All sites C00-C96 excl C44,Mortality,2011,Male,232,159.8,Mortality Male
Breast C50,Mortality,1989,Female,22,23.3,Mortality Female
"Lung C33, C34",Incidence,2014,Person,124,34.6,Incidence Person
Bowel C18-C20,Mortality,1987,Female,22,32.1,Mortality Female
All sites C00-C96 excl C44,Incidence,2000,Person,1188,477.4,Incidence Person
"Lung C33, C34",Incidence,1985,Female,12,17.4,Incidence Female
Melanoma of skin C43,Incidence,1991,Female,34,27.8,Incidence Female
"Lung C33, C34",Mortality,2014,Female,36,18.8,Mortality Female
Bowel C18-C20,Mortality,1990,Person,41,29.5,Mortality Person
Prostate C61,Incidence,2014,Male,246,138.3,Incidence Male
Melanoma of skin C43,Incidence,1987,Person,90,40.2,Incidence Person
Breast C50,Mortality,2003,Female,29,19.8,Mortality Female
Melanoma of skin C43,Incidence,1990,Male,36,43.9,Incidence Male
Bowel C18-C20,Mortality,1985,Person,37,29.1,Mortality Person
Melanoma of skin C43,Incidence,1985,Male,33,30.6,Incidence Male
"Lung C33, C34",Incidence,1999,Female,18,14.3,Incidence Female
All sites C00-C96 excl C44,Mortality,2001,Male,230,223.5,Mortality Male
Bowel C18-C20,Mortality,2009,Person,62,20.1,Mortality Person
All sites C00-C96 excl C44,Incidence,1999,Female,470,358.6,Incidence Female
All sites C00-C96 excl C44,Incidence,2009,Male,809,547.7,Incidence Male
Bowel C18-C20,Incidence,1990,Person,82,52.8,Incidence Person
Melanoma of skin C43,Incidence,1997,Female,49,35.8,Incidence Female
All sites C00-C96 excl C44,Incidence,2007,Person,1414,462,Incidence Person
All sites C00-C96 excl C44,Mortality,1993,Person,321,190.9,Mortality Person
Breast C50,Mortality,1993,Female,31,30.8,Mortality Female
All sites C00-C96 excl C44,Incidence,2013,Person,1651,451.6,Incidence Person
Bowel C18-C20,Incidence,2007,Male,88,64.5,Incidence Male
All sites C00-C96 excl C44,Mortality,2007,Female,203,123.6,Mortality Female
All sites C00-C96 excl C44,Mortality,2005,Person,405,151.2,Mortality Person
"Lung C33, C34",Incidence,2007,Female,51,32.8,Incidence Female
Bowel C18-C20,Incidence,1998,Female,46,39.1,Incidence Female
"Lung C33, C34",Mortality,1992,Female,18,20.1,Mortality Female
Bowel C18-C20,Incidence,2003,Male,80,65.1,Incidence Male
"Lung C33, C34",Incidence,2013,Person,118,33.1,Incidence Person
Breast C50,Incidence,2011,Female,250,134.1,Incidence Female
Bowel C18-C20,Mortality,2005,Person,55,22,Mortality Person
Bowel C18-C20,Incidence,1999,Female,56,45.5,Incidence Female
Bowel C18-C20,Incidence,2000,Female,85,67.1,Incidence Female
All sites C00-C96 excl C44,Mortality,1994,Male,189,246.7,Mortality Male
All sites C00-C96 excl C44,Incidence,1997,Person,993,452.9,Incidence Person
"Lung C33, C34",Incidence,1997,Person,68,34.3,Incidence Person
"Lung C33, C34",Mortality,2007,Female,31,19.5,Mortality Female
Breast C50,Mortality,1996,Female,39,34.2,Mortality Female
"Lung C33, C34",Incidence,2005,Male,50,41.5,Incidence Male
"Lung C33, C34",Mortality,2008,Male,44,32.8,Mortality Male
Bowel C18-C20,Mortality,2003,Female,25,18.7,Mortality Female
Bowel C18-C20,Mortality,1998,Person,44,21.7,Mortality Person
All sites C00-C96 excl C44,Incidence,2014,Female,791,400.1,Incidence Female
Melanoma of skin C43,Incidence,2006,Male,69,48.8,Incidence Male
Melanoma of skin C43,Incidence,1996,Female,40,30,Incidence Female
"Lung C33, C34",Mortality,2003,Male,40,35.1,Mortality Male
All sites C00-C96 excl C44,Incidence,2011,Female,710,386.7,Incidence Female
Melanoma of skin C43,Incidence,1992,Female,37,30.7,Incidence Female
Melanoma of skin C43,Incidence,1991,Person,77,34.4,Incidence Person
All sites C00-C96 excl C44,Incidence,1989,Person,621,381.3,Incidence Person
All sites C00-C96 excl C44,Incidence,1990,Person,672,400.4,Incidence Person
Bowel C18-C20,Incidence,1989,Male,53,74.2,Incidence Male
Breast C50,Incidence,1987,Female,64,70.5,Incidence Female
Breast C50,Incidence,2012,Female,249,133.2,Incidence Female
Bowel C18-C20,Incidence,1990,Female,40,49.1,Incidence Female
All sites C00-C96 excl C44,Mortality,2003,Male,235,215.4,Mortality Male
All sites C00-C96 excl C44,Incidence,1989,Female,318,351.4,Incidence Female
Melanoma of skin C43,Incidence,1993,Person,82,32.5,Incidence Person
"Lung C33, C34",Mortality,1994,Person,50,28.4,Mortality Person
"Lung C33, C34",Mortality,1999,Female,23,19.4,Mortality Female
All sites C00-C96 excl C44,Incidence,2012,Male,848,522.1,Incidence Male
All sites C00-C96 excl C44,Incidence,2014,Male,882,510.2,Incidence Male
"Lung C33, C34",Mortality,1990,Female,16,18.8,Mortality Female
All sites C00-C96 excl C44,Incidence,2008,Person,1440,457.1,Incidence Person
Bowel C18-C20,Incidence,2012,Female,118,64.4,Incidence Female
Breast C50,Incidence,1992,Female,102,98.1,Incidence Female
Prostate C61,Mortality,1991,Male,18,42.2,Mortality Male
Melanoma of skin C43,Incidence,2004,Female,62,38.9,Incidence Female
"Lung C33, C34",Mortality,1996,Female,16,15,Mortality Female
Breast C50,Mortality,1991,Female,44,47.3,Mortality Female
Breast C50,Incidence,2005,Female,201,123.4,Incidence Female
Melanoma of skin C43,Incidence,1999,Female,46,32.9,Incidence Female
"Lung C33, C34",Mortality,1995,Person,41,22,Mortality Person
Bowel C18-C20,Mortality,1996,Person,52,27.7,Mortality Person
Bowel C18-C20,Incidence,1988,Male,48,63.7,Incidence Male
"Lung C33, C34",Mortality,2010,Male,35,25.8,Mortality Male
Bowel C18-C20,Mortality,1988,Person,41,36.2,Mortality Person
Bowel C18-C20,Mortality,2004,Male,35,28.8,Mortality Male
"Lung C33, C34",Incidence,2004,Male,52,43.6,Incidence Male
Bowel C18-C20,Incidence,1995,Female,43,40.5,Incidence Female
All sites C00-C96 excl C44,Incidence,1988,Female,299,330.7,Incidence Female
Melanoma of skin C43,Incidence,1990,Female,33,29.2,Incidence Female
"Lung C33, C34",Incidence,1986,Male,35,65.2,Incidence Male
All sites C00-C96 excl C44,Incidence,1987,Person,568,357.4,Incidence Person
"Lung C33, C34",Mortality,2000,Male,35,33.1,Mortality Male
All sites C00-C96 excl C44,Incidence,2011,Person,1530,446,Incidence Person
Bowel C18-C20,Incidence,2002,Male,102,85.1,Incidence Male
"Lung C33, C34",Mortality,2008,Person,87,29.2,Mortality Person
Bowel C18-C20,Incidence,1998,Male,84,78.5,Incidence Male
Breast C50,Mortality,2004,Female,32,20.4,Mortality Female
"Lung C33, C34",Mortality,1986,Person,59,44.8,Mortality Person
Prostate C61,Incidence,1988,Male,33,68.6,Incidence Male
All sites C00-C96 excl C44,Mortality,2006,Male,235,191.9,Mortality Male
Bowel C18-C20,Mortality,1995,Female,25,23.6,Mortality Female
Melanoma of skin C43,Incidence,2008,Male,84,57.8,Incidence Male
Melanoma of skin C43,Incidence,2012,Male,74,46.1,Incidence Male
Bowel C18-C20,Incidence,2010,Female,100,57.9,Incidence Female
All sites C00-C96 excl C44,Incidence,1990,Male,332,474.2,Incidence Male
Breast C50,Mortality,2002,Female,31,21.8,Mortality Female
All sites C00-C96 excl C44,Incidence,1996,Male,540,566.3,Incidence Male
Bowel C18-C20,Incidence,1992,Male,62,83.6,Incidence Male
Prostate C61,Mortality,1985,Male,6,17.6,Mortality Male
All sites C00-C96 excl C44,Incidence,2006,Female,612,380.6,Incidence Female
Bowel C18-C20,Incidence,1988,Person,91,61.2,Incidence Person
"Lung C33, C34",Mortality,1996,Person,54,28.8,Mortality Person
Bowel C18-C20,Mortality,2010,Female,24,13.5,Mortality Female
Bowel C18-C20,Mortality,1989,Female,19,23.3,Mortality Female
Bowel C18-C20,Incidence,1991,Person,103,63.3,Incidence Person
"Lung C33, C34",Incidence,2002,Female,29,21.5,Incidence Female
Melanoma of skin C43,Incidence,2011,Female,52,28.1,Incidence Female
All sites C00-C96 excl C44,Incidence,1997,Female,450,370.1,Incidence Female
Prostate C61,Incidence,2002,Male,153,134,Incidence Male
All sites C00-C96 excl C44,Incidence,2015,Male,883,491.5,Incidence Male
Bowel C18-C20,Mortality,2002,Female,21,15.5,Mortality Female
Bowel C18-C20,Mortality,1985,Male,19,32,Mortality Male
Prostate C61,Mortality,1997,Male,16,24.8,Mortality Male
Prostate C61,Mortality,1999,Male,19,25.9,Mortality Male
All sites C00-C96 excl C44,Incidence,1993,Person,797,418.1,Incidence Person
Prostate C61,Mortality,2007,Male,26,23.8,Mortality Male
All sites C00-C96 excl C44,Mortality,2013,Male,261,164.7,Mortality Male
All sites C00-C96 excl C44,Mortality,1988,Female,121,162.1,Mortality Female
Bowel C18-C20,Mortality,1991,Female,25,32,Mortality Female
Bowel C18-C20,Mortality,2009,Male,29,21.4,Mortality Male
"Lung C33, C34",Incidence,2001,Person,67,27.1,Incidence Person
"Lung C33, C34",Incidence,2003,Person,83,33.2,Incidence Person
All sites C00-C96 excl C44,Incidence,1991,Female,324,332.5,Incidence Female
"Lung C33, C34",Incidence,2006,Female,40,26.3,Incidence Female
All sites C00-C96 excl C44,Mortality,2004,Person,411,156.9,Mortality Person
"Lung C33, C34",Incidence,2005,Person,102,36.6,Incidence Person
All sites C00-C96 excl C44,Incidence,2003,Female,572,377.6,Incidence Female
"Lung C33, C34",Mortality,2005,Person,55,20.7,Mortality Person
"Lung C33, C34",Incidence,2011,Male,46,32,Incidence Male
Prostate C61,Mortality,1986,Male,10,26.4,Mortality Male
Prostate C61,Incidence,1989,Male,38,69,Incidence Male
"Lung C33, C34",Incidence,2009,Male,49,34.3,Incidence Male
Bowel C18-C20,Incidence,1994,Person,115,61.3,Incidence Person
Melanoma of skin C43,Incidence,1988,Person,90,45.3,Incidence Person
All sites C00-C96 excl C44,Incidence,1994,Male,473,556,Incidence Male
"Lung C33, C34",Incidence,2002,Person,76,31.4,Incidence Person
Bowel C18-C20,Mortality,1990,Female,23,30.9,Mortality Female
"Lung C33, C34",Incidence,1986,Female,18,21.3,Incidence Female
Prostate C61,Mortality,2013,Male,32,21.7,Mortality Male
"Lung C33, C34",Mortality,1994,Female,17,16.9,Mortality Female
All sites C00-C96 excl C44,Mortality,2013,Person,505,142.2,Mortality Person
"Lung C33, C34",Mortality,1993,Female,13,14.5,Mortality Female
All sites C00-C96 excl C44,Incidence,2001,Female,533,371.2,Incidence Female
All sites C00-C96 excl C44,Incidence,1992,Person,717,402.6,Incidence Person
"Lung C33, C34",Incidence,1999,Male,47,45.9,Incidence Male
"Lung C33, C34",Mortality,1999,Male,30,34.2,Mortality Male
All sites C00-C96 excl C44,Incidence,1993,Male,424,518,Incidence Male
Prostate C61,Mortality,1987,Male,15,40.1,Mortality Male
All sites C00-C96 excl C44,Mortality,2014,Male,272,170.5,Mortality Male
Bowel C18-C20,Mortality,2001,Female,33,24.8,Mortality Female
Bowel C18-C20,Mortality,2011,Person,52,15.6,Mortality Person
All sites C00-C96 excl C44,Mortality,2010,Male,233,168.2,Mortality Male
"Lung C33, C34",Incidence,1989,Person,67,46.3,Incidence Person
Bowel C18-C20,Incidence,1994,Male,56,59.5,Incidence Male
All sites C00-C96 excl C44,Mortality,1994,Person,315,177.2,Mortality Person
Prostate C61,Mortality,1988,Male,16,36,Mortality Male
All sites C00-C96 excl C44,Mortality,1999,Female,191,156.6,Mortality Female
Bowel C18-C20,Incidence,1997,Female,54,48.2,Incidence Female
Bowel C18-C20,Mortality,2007,Male,43,33.5,Mortality Male
All sites C00-C96 excl C44,Mortality,1991,Male,166,254.7,Mortality Male
All sites C00-C96 excl C44,Incidence,1987,Male,278,414,Incidence Male
All sites C00-C96 excl C44,Mortality,1991,Person,318,204.5,Mortality Person
"Lung C33, C34",Mortality,1985,Person,35,30,Mortality Person
Bowel C18-C20,Incidence,1996,Male,66,68.5,Incidence Male
Bowel C18-C20,Incidence,1985,Female,44,64.3,Incidence Female
Melanoma of skin C43,Incidence,2012,Person,148,41.3,Incidence Person
"Lung C33, C34",Mortality,2013,Female,37,18.9,Mortality Female
All sites C00-C96 excl C44,Incidence,2012,Female,829,441.5,Incidence Female
Breast C50,Mortality,2013,Female,55,28,Mortality Female
Breast C50,Incidence,1995,Female,148,119.2,Incidence Female
Bowel C18-C20,Mortality,1997,Male,32,35,Mortality Male
"Lung C33, C34",Mortality,2011,Female,31,17.8,Mortality Female
Bowel C18-C20,Incidence,1997,Male,68,72.3,Incidence Male
Prostate C61,Mortality,2003,Male,30,33.4,Mortality Male
Melanoma of skin C43,Incidence,2007,Female,48,27.5,Incidence Female
All sites C00-C96 excl C44,Mortality,1993,Female,136,141,Mortality Female
"Lung C33, C34",Mortality,2004,Male,50,42.7,Mortality Male
"Lung C33, C34",Mortality,2003,Female,19,13.9,Mortality Female
Melanoma of skin C43,Incidence,2005,Female,79,48.6,Incidence Female
Melanoma of skin C43,Incidence,2000,Male,55,42.9,Incidence Male
Bowel C18-C20,Incidence,1990,Male,42,55.2,Incidence Male
Prostate C61,Incidence,1990,Male,50,93.6,Incidence Male
All sites C00-C96 excl C44,Incidence,2005,Female,638,404.7,Incidence Female
Bowel C18-C20,Incidence,2011,Person,188,57,Incidence Person
All sites C00-C96 excl C44,Incidence,1985,Male,275,462.3,Incidence Male
"Lung C33, C34",Incidence,2000,Male,49,46.2,Incidence Male
Bowel C18-C20,Mortality,2010,Male,41,29.2,Mortality Male
Bowel C18-C20,Mortality,2001,Male,29,25.5,Mortality Male
All sites C00-C96 excl C44,Mortality,1986,Person,271,216.7,Mortality Person
All sites C00-C96 excl C44,Mortality,1995,Person,357,187.7,Mortality Person
Prostate C61,Mortality,2014,Male,37,25.2,Mortality Male
Melanoma of skin C43,Incidence,2014,Female,81,40.3,Incidence Female
Prostate C61,Mortality,2011,Male,30,22.8,Mortality Male
Melanoma of skin C43,Incidence,1995,Person,105,45.8,Incidence Person
"Lung C33, C34",Incidence,2006,Person,91,33,Incidence Person
Bowel C18-C20,Incidence,2013,Person,186,52.3,Incidence Person
Melanoma of skin C43,Incidence,2015,Male,95,51.8,Incidence Male
"Lung C33, C34",Mortality,2004,Female,19,13.7,Mortality Female
All sites C00-C96 excl C44,Incidence,1997,Male,543,564,Incidence Male
Melanoma of skin C43,Incidence,2011,Male,74,47.4,Incidence Male
Breast C50,Incidence,2000,Female,198,135.9,Incidence Female
Bowel C18-C20,Mortality,1990,Male,18,25,Mortality Male
Melanoma of skin C43,Incidence,1988,Male,50,55.7,Incidence Male
All sites C00-C96 excl C44,Incidence,1995,Female,431,369.1,Incidence Female
Bowel C18-C20,Mortality,2008,Person,53,17.7,Mortality Person
Bowel C18-C20,Incidence,1997,Person,122,58.8,Incidence Person
All sites C00-C96 excl C44,Incidence,2012,Person,1677,475.3,Incidence Person
All sites C00-C96 excl C44,Mortality,2005,Male,187,167.2,Mortality Male
Melanoma of skin C43,Incidence,2001,Male,48,36.6,Incidence Male
All sites C00-C96 excl C44,Incidence,2015,Person,1646,428.7,Incidence Person
Bowel C18-C20,Mortality,1985,Female,18,26.3,Mortality Female
All sites C00-C96 excl C44,Incidence,1992,Female,322,316.6,Incidence Female
"Lung C33, C34",Incidence,2000,Person,79,33.6,Incidence Person
Melanoma of skin C43,Incidence,1994,Person,68,29.5,Incidence Person
All sites C00-C96 excl C44,Mortality,1985,Person,216,177,Mortality Person
"Lung C33, C34",Incidence,2015,Female,49,24.2,Incidence Female
Breast C50,Incidence,1994,Female,138,120.7,Incidence Female
"Lung C33, C34",Mortality,1989,Female,13,16.9,Mortality Female
Breast C50,Mortality,2006,Female,42,26,Mortality Female
All sites C00-C96 excl C44,Incidence,1991,Male,399,542.7,Incidence Male
"Lung C33, C34",Incidence,2008,Male,53,38.3,Incidence Male
Breast C50,Incidence,2002,Female,202,131,Incidence Female
"Lung C33, C34",Incidence,1991,Female,19,20.8,Incidence Female
Bowel C18-C20,Incidence,2009,Male,108,75.6,Incidence Male
Bowel C18-C20,Mortality,1988,Male,19,37.6,Mortality Male
All sites C00-C96 excl C44,Mortality,1997,Person,379,186.1,Mortality Person
"Lung C33, C34",Incidence,2001,Female,24,17.9,Incidence Female
Bowel C18-C20,Incidence,2002,Person,182,71.4,Incidence Person
"Lung C33, C34",Mortality,2002,Person,49,21.2,Mortality Person
All sites C00-C96 excl C44,Mortality,1991,Female,152,174.9,Mortality Female
All sites C00-C96 excl C44,Mortality,1985,Male,106,220.8,Mortality Male
Bowel C18-C20,Mortality,1995,Person,50,25.5,Mortality Person
All sites C00-C96 excl C44,Mortality,1996,Male,215,272.3,Mortality Male
All sites C00-C96 excl C44,Mortality,2000,Male,214,231.3,Mortality Male
Melanoma of skin C43,Incidence,2010,Female,43,23.4,Incidence Female
"Lung C33, C34",Mortality,1992,Male,38,52.8,Mortality Male
All sites C00-C96 excl C44,Mortality,2012,Person,482,141.8,Mortality Person
Bowel C18-C20,Mortality,1999,Person,52,24.3,Mortality Person
"Lung C33, C34",Mortality,2013,Male,44,29,Mortality Male
"Lung C33, C34",Incidence,1993,Male,41,48.8,Incidence Male
Melanoma of skin C43,Incidence,2001,Female,66,43.7,Incidence Female
All sites C00-C96 excl C44,Incidence,1985,Female,270,351.3,Incidence Female
Melanoma of skin C43,Incidence,2008,Person,144,44.5,Incidence Person
Breast C50,Incidence,1993,Female,112,99.5,Incidence Female
Bowel C18-C20,Incidence,1988,Female,43,56.6,Incidence Female
"Lung C33, C34",Incidence,2005,Female,52,33.8,Incidence Female
All sites C00-C96 excl C44,Mortality,2012,Male,261,176.4,Mortality Male
Breast C50,Incidence,1986,Female,68,83.8,Incidence Female
Breast C50,Mortality,2014,Female,35,17.1,Mortality Female
